file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j2-core\src\main\java\org\apache\logging\log4j\core\layout\pattern\ClassNamePatternConverter.java,org.apache.logging.log4j.core.layout.pattern.ClassNamePatternConverter,class,5,6,1,5,4,4,0,5,3,0.6666667,0.0,0.0,3,1,2,1,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,20,1,0,1,0,0,7,0,3,0,3,1,0,0,0,45,17,0
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j2-core\src\test\java\org\apache\logging\log4j\core\util\Filter.java,org.apache.logging.log4j.core.util.Filter,interface,0,10,10,0,1,1,0,0,0,1.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,5,3,3,0,0,2,5,0,0,8,0,0,0,0,0,5,0,5,0,5,0,0,0,0,40,1,0
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j2-core\src\main\java\org\apache\logging\log4j\core\Logger.java,org.apache.logging.log4j.core.Logger$PrivateConfig,innerclass,9,9,0,9,34,1,0,11,0,0.16,1.0,1.0,10,0,2,0,0,8,10,0,0,0,5,0,0,5,0,0,3,0,0,125,16,8,16,0,0,0,0,34,0,29,3,0,0,0,25,2,0
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j2-api\src\main\java\org\apache\logging\log4j\message\StructuredDataId.java,org.apache.logging.log4j.message.StructuredDataId,class,1,3,2,1,22,1,0,9,0,0.7777778,0.5555556,0.8,10,0,9,0,1,0,10,0,0,0,9,5,4,5,0,0,6,0,1,89,10,0,4,0,0,20,12,24,5,14,2,0,0,0,67,1,0
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j2-core\src\main\java\org\apache\logging\log4j\core\filter\MDCFilter.java,org.apache.logging.log4j.core.filter.MDCFilter,class,12,14,2,12,17,2,0,11,0,0.6388889,0.5714286,0.75,9,1,8,1,0,0,8,0,0,0,4,2,0,4,0,0,4,0,5,60,8,1,2,0,0,6,0,13,0,9,2,0,0,0,52,1,0
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j2-core\src\main\java\org\apache\logging\log4j\core\layout\pattern\LiteralPatternConverter.java,org.apache.logging.log4j.core.layout.pattern.LiteralPatternConverter,class,2,3,1,2,2,3,0,1,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,10,0,0,0,0,0,2,0,1,0,1,0,0,0,0,16,17,0
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j2-api\src\main\java\org\apache\logging\log4j\internal\StatusConsoleListener.java,org.apache.logging.log4j.internal.StatusConsoleListener,class,4,6,2,4,12,1,0,10,1,0.6111111,0.6,0.6,6,0,5,1,0,0,5,0,0,0,3,1,0,3,0,0,1,0,2,37,3,1,2,0,0,1,0,9,0,5,2,0,0,0,26,1,0
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j2-core\src\main\java\org\apache\logging\log4j\core\layout\pattern\NameAbbreviator.java,org.apache.logging.log4j.core.layout.pattern.NameAbbreviator,class,5,10,5,5,17,4,6,6,1,0.33333334,0.33333334,0.33333334,3,2,3,0,0,0,3,1,0,0,1,1,0,1,0,0,1,0,1,124,5,2,5,0,7,1,8,13,1,8,4,0,4,0,67,1025,0
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j2-api\src\main\java\org\apache\logging\log4j\LogManager.java,org.apache.logging.log4j.LogManager,class,4,11,7,4,20,1,0,24,4,0.73333335,0.33333334,0.33333334,5,4,2,3,0,0,3,0,0,0,6,6,0,6,0,0,4,0,5,86,5,2,4,3,0,16,2,16,6,14,4,0,0,0,89,17,5
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j2-core\src\main\java\org\apache\logging\log4j\core\layout\LayoutBase.java,org.apache.logging.log4j.core.layout.LayoutBase,class,4,5,1,4,4,1,1,1,2,0.6666667,0.33333334,0.33333334,4,0,4,0,0,0,4,0,0,0,3,1,0,0,3,0,0,0,1,17,2,0,0,0,0,0,0,3,0,3,0,0,0,0,10,1025,0
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j2-core\src\main\java\org\apache\logging\log4j\core\layout\pattern\FileLocationPatternConverter.java,org.apache.logging.log4j.core.layout.pattern.FileLocationPatternConverter,class,5,6,1,5,4,3,0,3,3,0.6666667,0.0,0.0,3,1,2,1,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,15,1,0,1,0,0,6,0,2,0,2,1,0,0,0,41,17,0
